,Number of sequences,Sum of pairs,Circular sum
137t4,6,13118.0,5427.0
138,5,3083.0,1686.0
138s1,2,471.0,942.0
138t2,4,2860.0,1972.0
139,9,2567.0,1441.0
139s0,2,610.0,1220.0
139s2,3,1547.0,1547.0
139s3,2,555.0,1110.0
139s4,4,2039.0,1597.0
139s6,5,2118.0,921.0
139t4,2,99.0,198.0
139t6,7,5241.0,2694.0
14,4,-122.0,-29.0
140,14,-2640.0,914.0
140s1,3,2507.0,2507.0
140s4,2,562.0,1124.0
140s7,3,1372.0,1372.0
140s9,9,12451.0,3656.0
140t1,2,570.0,1140.0
140t10,10,12283.0,2786.0
140t11,4,964.0,1022.0
140t3,2,525.0,1050.0
140t7,4,1749.0,1260.0
140t8,5,6897.0,3623.0
142,2,722.0,1444.0
144,5,4005.0,2269.0
144s1,3,2605.0,2605.0
144s2,4,4472.0,3116.0
145,3,2145.0,2145.0
146,2,134.0,268.0
147,2,1372.0,2744.0
14t0,2,57.0,114.0
14t1,3,118.0,118.0
150,4,9570.0,6580.0
16,2,-6.0,-12.0
160,3,2522.0,2522.0
160s0,2,1077.0,2154.0
17,2,922.0,1844.0
181,2,1916.0,3832.0
186,4,6650.0,4444.0
19,4,-3943.0,-1816.0
197,6,19503.0,9929.0
197t3,4,13397.0,8925.0
198,2,553.0,1106.0
199,2,560.0,1120.0
19s1,3,-219.0,-219.0
19t1,3,-605.0,-605.0
200,5,10434.0,7495.0
200s0,2,3223.0,6446.0
200t1,2,2296.0,4592.0
200t2,3,6135.0,6135.0
202,2,772.0,1544.0
218,2,1086.0,2172.0
22,63,-1795682.0,-33353.0
222,2,267.0,534.0
225,2,1711.0,3422.0
226,3,5425.0,5425.0
22s18,5,6459.0,3246.0
22s24,3,1603.0,1603.0
22s30,5,5478.0,2883.0
22s33,5,4901.0,2570.0
22s34,4,3254.0,2211.0
22s35,18,79093.0,10118.0
22s36,7,11428.0,4115.0
22s38,21,100905.0,11439.0
22s4,2,639.0,1278.0
22s40,2,171.0,342.0
22s41,12,26012.0,6169.0
22s44,3,708.0,708.0
22s46,3,362.0,362.0
22s51,2,-406.0,-812.0
22s53,3,-489.0,-489.0
22s54,2,-29.0,-58.0
22s55,37,111862.0,15030.0
22s56,4,-3830.0,-2204.0
22t39,6,5810.0,2468.0
22t40,5,1218.0,893.0
22t42,6,4805.0,1839.0
22t43,2,248.0,496.0
22t44,20,90493.0,10753.0
22t45,13,27310.0,6369.0
22t46,2,193.0,386.0
22t47,6,1474.0,925.0
22t48,14,28517.0,6552.0
22t49,12,13895.0,3945.0
22t50,22,103289.0,11307.0
22t53,48,31319.0,17932.0
22t54,3,-43.0,-43.0
22t55,8,-6257.0,-863.0
22t56,49,37302.0,15975.0
22t58,10,-38600.0,-5829.0
22t59,4,-2387.0,-1677.0
22t60,14,-113112.0,-16365.0
23,2,156.0,312.0
231,2,913.0,1826.0
232,2,523.0,1046.0
235,3,2058.0,2058.0
235s0,2,872.0,1744.0
236,3,1061.0,1061.0
236s0,2,394.0,788.0
24,11,-2385.0,1463.0
248,4,4041.0,2883.0
248s0,2,1231.0,2462.0
249,6,-2889.0,1631.0
249s1,2,839.0,1678.0
249t1,2,1290.0,2580.0
249t2,3,1736.0,1736.0
24s3,2,408.0,816.0
24t4,5,6528.0,3556.0
24t5,2,395.0,790.0
24t6,3,1208.0,1208.0
24t7,4,1335.0,890.0
24t8,6,176.0,795.0
25,2,-1066.0,-2132.0
252,2,-76.0,-152.0
256,4,-173.0,566.0
256t0,2,858.0,1716.0
256t1,2,545.0,1090.0
259,2,189.0,378.0
260,2,769.0,1538.0
263,8,5746.0,6891.0
263t0,2,2578.0,5156.0
263t3,4,11791.0,7710.0
263t4,2,184.0,368.0
263t5,6,12742.0,8062.0
264,2,1259.0,2518.0
265,2,612.0,1224.0
267,4,6607.0,4530.0
267t1,3,5647.0,5647.0
268,2,1039.0,2078.0
269,2,864.0,1728.0
27,2,-156.0,-312.0
275,2,2051.0,4102.0
277,2,231.0,462.0
279,2,-11.0,-22.0
28,2,405.0,810.0
29,2,-604.0,-1208.0
294,7,5037.0,3182.0
294s1,2,859.0,1718.0
294s2,3,2601.0,2601.0
294s3,2,298.0,596.0
294t3,4,3540.0,2513.0
294t4,3,1165.0,1165.0
298,2,335.0,670.0
3,2,-174.0,-348.0
30,6,4102.0,2827.0
300,2,1055.0,2110.0
303,3,1057.0,1057.0
303t0,2,719.0,1438.0
307,9,34277.0,10023.0
307s2,2,1675.0,3350.0
307s4,5,14751.0,7474.0
307t6,8,31971.0,10453.0
30t1,2,1370.0,2740.0
30t2,3,3779.0,3779.0
30t3,5,7721.0,3096.0
316,6,6620.0,3271.0
316t0,2,672.0,1344.0
316t3,4,3869.0,2746.0
331,2,1332.0,2664.0
332,3,514.0,514.0
332t0,2,409.0,818.0
34,6,1733.0,857.0
341,7,13031.0,4932.0
341s3,3,2169.0,2169.0
341s4,4,4485.0,3156.0
34s1,3,1201.0,1201.0
34t3,5,2412.0,1369.0
35,5,-17722.0,-6507.0
351,4,1119.0,927.0
351s0,2,845.0,1690.0
351t1,3,1626.0,1626.0
354,4,1525.0,1143.0
354s0,2,807.0,1614.0
354t1,3,1756.0,1756.0
355,4,729.0,338.0
355s0,2,299.0,598.0
355s1,2,258.0,516.0
35s0,2,868.0,1736.0
35t1,3,2233.0,2233.0
35t2,4,698.0,374.0
36,2,-145.0,-290.0
361,3,2155.0,2155.0
370,3,978.0,978.0
370s0,2,444.0,888.0
376,2,26.0,52.0
379,2,394.0,788.0
381,2,414.0,828.0
383,4,1851.0,1295.0
383s0,2,403.0,806.0
383s1,2,268.0,536.0
388,3,1541.0,1541.0
388s0,2,713.0,1426.0
39,5,2403.0,1617.0
394,3,1320.0,1320.0
397,3,703.0,703.0
397t0,2,441.0,882.0
39t1,3,3128.0,3128.0
39t2,4,3952.0,2578.0
4,7,-3274.0,-1109.0
401,2,255.0,510.0
409,2,256.0,512.0
41,5,1155.0,533.0
414,6,3722.0,1599.0
414s2,3,828.0,828.0
415,4,951.0,678.0
41t2,4,4425.0,2974.0
42,5,-22101.0,-11583.0
